Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,TTD,SOC,Voltage
4.122635846,-0.000607435,43.41517781,0.0004,0,0,1.697507332,1572.359,1,4.200799492
4.122758587,-0.00032066,43.40626577,0.0006,4.138,9.359,1.697507332,1563,0.955389449,4.150910242
3.804544441,-4.02420589,43.44300568,3.995,1.854,19.453,1.697507332,1552.906,0.978372158,4.110267672
3.779299709,-4.021188104,43.55895892,3.995,1.82,28.781,1.697507332,1543.578,0.962681124,3.893242312
3.758906938,-4.022193609,43.72155019,3.995,1.806,38.156,1.697507332,1534.203,0.956018267,3.866527883
3.741408471,-4.022328306,43.88622271,3.995,1.789,47.516,1.697507332,1524.843,0.941794941,3.772883984
3.726137411,-4.022030406,44.06293041,3.995,1.773,56.844,1.697507332,1515.515,0.934825303,3.736051308
3.712159255,-4.024402982,44.26603481,3.995,1.759,66.219,1.697507332,1506.14,0.931756657,3.717697428
3.69932011,-4.02147461,44.47657262,3.995,1.744,75.531,1.697507332,1496.828,0.929871814,3.703941104
3.687150072,-4.022123037,44.63494259,3.995,1.728,84.844,1.697507332,1487.515,0.928284693,3.692166821
3.675903613,-4.02366076,44.85253424,3.995,1.714,94.141,1.697507332,1478.218,0.926642204,3.679561752
3.665035346,-4.020012309,45.03474882,3.995,1.702,103.5,1.697507332,1468.859,0.92531522,3.669063752
3.654902994,-4.023115575,45.20593171,3.995,1.688,112.859,1.697507332,1459.5,0.923917951,3.658499858
3.645538646,-4.024423802,45.42603904,3.995,1.68,122.281,1.697507332,1450.078,0.92261429,3.647828293
3.636975404,-4.023274494,45.62421842,3.995,1.673,131.625,1.697507332,1440.734,0.921606958,3.638905466
3.629328153,-4.023368738,45.75273907,3.995,1.665,141.016,1.697507332,1431.343,0.920688749,3.631470331
3.622168693,-4.022319205,45.91825153,3.995,1.656,150.375,1.697507332,1421.984,0.919727461,3.623407812
3.615299163,-4.024052986,46.08464884,3.995,1.653,159.688,1.697507332,1412.671,0.918965483,3.61620236
3.60893643,-4.022976088,46.23463672,3.995,1.65,169.047,1.697507332,1403.312,0.918280454,3.609724178
3.602880707,-4.022959534,46.37979925,3.995,1.645,178.344,1.697507332,1394.015,0.917622335,3.603479472
3.59721833,-4.022284187,46.48020844,3.995,1.668,187.703,1.697507332,1384.656,0.917005838,3.598192699
3.591800196,-4.022940169,46.5895685,3.995,1.66,197.063,1.697507332,1375.296,0.916307993,3.592417082
3.586677268,-4.023245721,46.78333441,3.995,1.659,206.406,1.697507332,1365.953,0.915686567,3.585699213
3.58168593,-4.024522478,46.87250179,3.995,1.653,215.766,1.697507332,1356.593,0.915415506,3.582231306
3.576918959,-4.02249409,46.9799938,3.995,1.647,225.109,1.697507332,1347.25,0.914813784,3.577121186
3.572397722,-4.023377586,47.12767832,3.995,1.643,234.453,1.697507332,1337.906,0.914284016,3.571642957
3.567794407,-4.022946617,47.23217951,3.995,1.638,243.844,1.697507332,1328.515,0.913962772,3.567888727
3.563460857,-4.023464712,47.32184008,3.995,1.634,253.203,1.697507332,1319.156,0.913456743,3.563538524
3.559298236,-4.021574095,47.44342541,3.995,1.629,262.547,1.697507332,1309.812,0.912953952,3.558781328
3.55519472,-4.0219523,47.61750193,3.995,1.636,271.875,1.697507332,1300.484,0.91258133,3.553712667
3.551231892,-4.024239155,47.69671653,3.995,1.627,281.203,1.697507332,1291.156,0.912416532,3.551158802
3.547376143,-4.023691507,47.76064492,3.995,1.622,290.516,1.697507332,1281.843,0.911945898,3.547549475
3.543480818,-4.023262572,47.91718587,3.995,1.617,299.844,1.697507332,1272.515,0.911422375,3.54215344
3.539679749,-4.023428558,48.04162482,3.995,1.608,309.141,1.697507332,1263.218,0.911229819,3.538845695
3.536124596,-4.022746359,48.08831909,3.995,1.604,318.438,1.697507332,1253.921,0.91092212,3.536382345
3.532341828,-4.021665429,48.21001329,3.995,1.601,327.813,1.697507332,1244.546,0.910381,3.53155669
3.528757022,-4.023918403,48.32030701,3.995,1.596,337.172,1.697507332,1235.187,0.910069544,3.527905302
3.525069712,-4.021071239,48.43308819,3.995,1.599,346.531,1.697507332,1225.828,0.909769459,3.524481945
3.521284239,-4.023280974,48.51761951,3.995,1.594,355.875,1.697507332,1216.484,0.909411342,3.521093226
3.517779764,-4.022203476,48.6075768,3.995,1.59,365.156,1.697507332,1207.203,0.908967183,3.517329914
3.514323199,-4.021534014,48.70689247,3.995,1.586,374.453,1.697507332,1197.906,0.908581323,3.513676758
3.510748232,-4.022672351,48.84212133,3.995,1.589,383.828,1.697507332,1188.531,0.908239096,3.509548719
3.507217011,-4.022693479,48.9219556,3.995,1.585,393.172,1.697507332,1179.187,0.908018262,3.507038942
3.503698589,-4.023415557,48.97111722,3.995,1.58,402.609,1.697507332,1169.75,0.907571055,3.503946154
3.500213661,-4.022493854,49.07838893,3.995,1.576,411.938,1.697507332,1160.421,0.907029904,3.499440097
3.496597102,-4.022957026,49.17064224,3.995,1.572,421.25,1.697507332,1151.109,0.906721091,3.496270481
3.493181368,-4.023069133,49.20137616,3.995,1.568,430.547,1.697507332,1141.812,0.906308211,3.493720649
3.489766433,-4.023059909,49.30648675,3.995,1.564,439.859,1.697507332,1132.5,0.905700833,3.488893876
