Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,TTD
4.121227217169418,0.0002459229855931,43.15149833518289,0.0006,0.0,0.0,1.6560706096175404,1572.359
4.121228264511843,0.0017593005385624,43.15238579002229,0.0006,4.137,9.358999999999998,1.6560706096175404,1563.0
3.7858549607732783,-4.023210863695223,43.17866173014264,4.001,1.894,19.453,1.6560706096175404,1552.906
3.76070827967036,-4.025960489573527,43.29620040755801,4.001,1.882,28.781,1.6560706096175404,1543.578
3.740428906553871,-4.022908374140348,43.45112281273104,4.001,1.866,38.156000000000006,1.6560706096175404,1534.203
3.723082403531682,-4.023997552490315,43.614705119155936,4.001,1.849,47.516,1.6560706096175404,1524.8429999999998
3.707812653353544,-4.024172971358829,43.78388374117888,4.001,1.832,56.844,1.6560706096175404,1515.5149999999999
3.6938056377260713,-4.024301940851788,44.01545179355162,4.001,1.82,66.219,1.6560706096175404,1506.1399999999999
3.680859771441665,-4.022973658562584,44.217054019566575,4.001,1.804,75.531,1.6560706096175404,1496.828
3.668565008307034,-4.0229079552490905,44.38933165155302,4.001,1.791,84.844,1.6560706096175404,1487.5149999999999
3.656972464631457,-4.022783048536271,44.62017314026484,4.001,1.779,94.141,1.6560706096175404,1478.2179999999998
3.6458854149008135,-4.023318506141687,44.80646382241516,4.001,1.766,103.5,1.6560706096175404,1468.859
3.6357097154320743,-4.02382803312601,44.991857311138894,4.001,1.756,112.859,1.6560706096175404,1459.5
3.6264600997726593,-4.024648805031694,45.21973935798024,4.001,1.746,122.281,1.6560706096175404,1450.078
3.617939535615629,-4.023388642070381,45.43287530396782,4.001,1.737,131.625,1.6560706096175404,1440.734
3.610134999390294,-4.025448598395091,45.56807440228759,4.001,1.729,141.016,1.6560706096175404,1431.3429999999998
3.602806980795631,-4.024579171520609,45.727621573826106,4.001,1.721,150.375,1.6560706096175404,1421.984
3.595745968402459,-4.022065425820922,45.92052786032445,4.001,1.714,159.688,1.6560706096175404,1412.6709999999998
3.5893440938549936,-4.02307604518088,46.05251891175806,4.001,1.709,169.047,1.6560706096175404,1403.312
3.583103187757206,-4.022786799630304,46.231035135521104,4.001,1.703,178.344,1.6560706096175404,1394.0149999999999
3.5771907662001468,-4.023372732353369,46.34448385110223,4.001,1.698,187.703,1.6560706096175404,1384.656
3.5717328946304088,-4.022988169806297,46.467087283519405,4.001,1.693,197.063,1.6560706096175404,1375.2959999999998
3.5663825475762376,-4.023374927498386,46.661605642595454,4.001,1.688,206.406,1.6560706096175404,1365.953
3.561289801407544,-4.023252578479298,46.777494010648375,4.001,1.684,215.766,1.6560706096175404,1356.5929999999998
3.556550940560091,-4.023689068956254,46.88940032650391,4.001,1.679,225.109,1.6560706096175404,1347.25
3.551797029328174,-4.024953641677462,47.00121301768699,4.001,1.675,234.453,1.6560706096175404,1337.906
3.547394508257589,-4.02478720847465,47.15668667883566,4.001,1.671,243.844,1.6560706096175404,1328.5149999999999
3.5429687008094275,-4.02459144576795,47.25202714306727,4.001,1.667,253.203,1.6560706096175404,1319.156
3.538685674990903,-4.023202225918038,47.39912963797727,4.001,1.663,262.547,1.6560706096175404,1309.812
3.5344832838308067,-4.024423380458496,47.56362341134318,4.001,1.659,271.875,1.6560706096175404,1300.484
3.530476625115972,-4.0237233795285725,47.67147855833341,4.001,1.656,281.203,1.6560706096175404,1291.156
3.5265643713301986,-4.022782710066232,47.756219101063415,4.001,1.653,290.516,1.6560706096175404,1281.8429999999998
3.522610733815572,-4.02493086258635,47.94147348272121,4.001,1.649,299.844,1.6560706096175404,1272.5149999999999
3.518771117804408,-4.022837334131195,48.094088195321,4.001,1.646,309.141,1.6560706096175404,1263.2179999999998
3.5149318440964423,-4.023841412845271,48.14556028665027,4.001,1.643,318.438,1.6560706096175404,1253.9209999999998
3.5112056775763194,-4.024910605619883,48.28381412469722,4.001,1.639,327.813,1.6560706096175404,1244.5459999999998
3.507599120596435,-4.022751468290741,48.439759399579614,4.001,1.635,337.172,1.6560706096175404,1235.187
3.5039393727554047,-4.023923586547057,48.50436152654149,4.001,1.633,346.531,1.6560706096175404,1225.828
3.500266951063701,-4.023613595294874,48.60710400876631,4.001,1.629,355.875,1.6560706096175404,1216.484
3.4965806686408776,-4.024187517731064,48.74860951136559,4.001,1.625,365.156,1.6560706096175404,1207.203
3.493052689955604,-4.022145303485076,48.82866155605252,4.001,1.622,374.453,1.6560706096175404,1197.906
3.4895509055582945,-4.023690903524006,48.99694317754454,4.001,1.619,383.828,1.6560706096175404,1188.531
3.4858344601548428,-4.023908367166594,49.0945128640975,4.001,1.615,393.172,1.6560706096175404,1179.187
3.482443070509455,-4.02314757643839,49.15310990601726,4.001,1.612,402.609,1.6560706096175404,1169.75
3.478940838746728,-4.024389118210501,49.2935772228145,4.001,1.608,411.938,1.6560706096175404,1160.4209999999998
3.4753607909174877,-4.024748718104076,49.389119569261815,4.001,1.605,421.25,1.6560706096175404,1151.109
3.4720191615854503,-4.023813993312042,49.444192738452806,4.001,1.601,430.547,1.6560706096175404,1141.812
3.468543819422851,-4.023261509228852,49.55240108542439,4.001,1.597,439.859,1.6560706096175404,1132.5
3.4650821385891635,-4.024853294492422,49.65904890101709,4.001,1.594,449.234,1.6560706096175404,1123.125
3.461703472427345,-4.023489644876266,49.75737402237508,4.001,1.591,458.625,1.6560706096175404,1113.734
3.4583644926929744,-4.02472919647262,49.87507259606476,4.001,1.589,467.969,1.6560706096175404,1104.3899999999999
3.455107408036904,-4.024559817978129,49.977494858783416,4.001,1.585,477.313,1.6560706096175404,1095.0459999999998
3.4518683043495537,-4.023661450479802,50.08335864883493,4.001,1.582,486.688,1.6560706096175404,1085.6709999999998
3.448504319805867,-4.023606939624036,50.17668548893985,4.001,1.579,496.063,1.6560706096175404,1076.2959999999998
3.445328402095148,-4.023509694356022,50.26166067506353,4.001,1.577,505.359,1.6560706096175404,1067.0
3.4420139441691417,-4.023497934717991,50.35673357019164,4.001,1.573,514.703,1.6560706096175404,1057.656
3.4386943836804944,-4.024011466714396,50.45511025239466,4.001,1.57,524.031,1.6560706096175404,1048.328
3.4354920843628385,-4.024403760773981,50.55122754740327,4.001,1.564,533.359,1.6560706096175404,1039.0
3.4323899333723893,-4.025191233617584,50.61190204030609,4.001,1.561,542.75,1.6560706096175404,1029.609
3.429315636443583,-4.024571223568069,50.71934480419514,4.001,1.559,552.109,1.6560706096175404,1020.2499999999999
3.4262115079170923,-4.023453704625623,50.82268733655451,4.001,1.557,561.5,1.6560706096175404,1010.8589999999999
3.423165525064467,-4.024698146104843,50.8441800919516,4.001,1.554,570.844,1.6560706096175404,1001.5149999999999
3.420274679329521,-4.023967641020099,50.9701208905585,4.001,1.551,580.156,1.6560706096175404,992.203
3.4174088622584224,-4.023365741897965,51.09534220851387,4.001,1.549,589.469,1.6560706096175404,982.8899999999999
3.414605887302141,-4.025020993902956,51.27197043173417,4.001,1.546,598.781,1.6560706096175404,973.578
