Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,TTD,SOC,Voltage
4.087016142,-0.003006066,43.26523418,0.0004,0,0,1.704864107,1572.359,1,4.200797368
4.086933538,-0.000235079,43.25683176,0.0004,4.103,9.359,1.704864107,1563,0.935061191,4.133266285
3.718468399,-3.990765248,43.31172882,4.001,1.544,19.453,1.704864107,1552.906,0.979439718,4.07535583
3.694684454,-3.988639969,43.44561245,4.001,1.55,28.781,1.704864107,1543.578,0.934359989,3.807332652
3.676321847,-3.989155745,43.61178079,4.001,1.547,38.156,1.704864107,1534.203,0.949449335,3.750406759
3.660493329,-3.990303556,43.79820744,4.001,1.533,47.516,1.704864107,1524.843,0.953270093,3.715311041
3.64581543,-3.990573302,44.02778037,4.001,1.519,56.844,1.704864107,1515.515,0.94967365,3.681511678
3.632009799,-3.98779557,44.27924667,4.001,1.504,66.219,1.704864107,1506.14,0.945364109,3.653066701
3.619398849,-3.988181547,44.50548117,4.001,1.491,75.531,1.704864107,1496.828,0.941793002,3.632884321
3.607694052,-3.990526711,44.71944462,4.001,1.475,84.844,1.704864107,1487.515,0.938966862,3.617709468
3.596657632,-3.989224524,44.94652722,4.001,1.461,94.141,1.704864107,1478.218,0.936599132,3.604829163
3.586966996,-3.989449906,45.11433547,4.001,1.45,103.5,1.704864107,1468.859,0.934512592,3.593916428
3.578128156,-3.987345617,45.28880677,4.001,1.442,112.859,1.704864107,1459.5,0.932631855,3.583861197
3.570019545,-3.990365002,45.52937788,4.001,1.434,122.281,1.704864107,1450.078,0.930976007,3.573837699
3.562461758,-3.987457368,45.72059159,4.001,1.425,131.625,1.704864107,1440.734,0.929703534,3.566154953
3.555559656,-3.989395769,45.84410496,4.001,1.417,141.016,1.704864107,1431.343,0.928467249,3.559334435
3.548748779,-3.986254344,46.01475114,4.001,1.41,150.375,1.704864107,1421.984,0.927211825,3.551887125
3.542442391,-3.987089148,46.15498455,4.001,1.404,159.688,1.704864107,1412.671,0.926077309,3.545284607
3.536547524,-3.988797501,46.30443053,4.001,1.399,169.047,1.704864107,1403.312,0.925001888,3.538768837
3.530634214,-3.987401852,46.4731588,4.001,1.393,178.344,1.704864107,1394.015,0.924053556,3.5325955
3.524967302,-3.988038464,46.57887024,4.001,1.393,187.703,1.704864107,1384.656,0.923160937,3.5274762
3.519460445,-3.990305919,46.69481627,4.001,1.389,197.063,1.704864107,1375.296,0.922153562,3.521634366
3.514138652,-3.993083489,46.87334242,4.001,1.387,206.406,1.704864107,1365.953,0.921206858,3.515141391
